Project ID,Project Name,Project local script,Fuel type,Country/Area,Subnational unit,Production Type,Status,Status detail,Status year,Discovery year,FID Year,Production start year,Operator,Owner(s),Parent(s),Government unit ID,Units (list of IDs),Wiki URL (project),Name Other,Latitude,Longitude,Location accuracy,Project location type,Onshore/Offshore,Project outline (WKT),Basin,Block(s)
L100000312912,Azeri-Chirag-Gunashli Oil and Gas Project (Azerbaijan),Azəri-Çıraq-Günəşli,oil and gas,Azerbaijan,,conventional,operating,,2025,1979,,1985,BP Exploration (Caspian Si),BP Exploration (Caspian Si) Ltd [30%]; MOL Group [9%]; INPEX Southwest Caspian Sea Ltd [9%]; State Oil Company of Azerbaijan Republic [25%]; other [25%],BP P.L.C. [30.4%]; other [25.7%]; State Oil Company of Azerbaijan Republic [25.0%]; MOL Group [9.6%]; INPEX Corp [9.3%],,"L100000312912, L100000317038, L100000317040, L100000317039",https://www.gem.wiki/Azeri-Chirag-Gunashli_Oil_and_Gas_Project_(Azerbaijan),Azeri-Chirag-Guneshli (ACG) Deepwater,40.2197000,51.0977000,approximate,project level location,offshore,,Caspian,
L100000302761,"Bacalhau Oil and Gas Project (São Paulo, Brazil)",Bacalhau,oil and gas,Brazil,São Paulo,conventional,operating,ramp up,2025,2012,2021,2025,Equinor Brasil Energia,ExxonMobil Brasil [40%]; Petrogal Brasil SA [20%]; Equinor Brasil [40%],Equinor ASA [40.0%]; Exxon Mobil Corp [40.0%]; Galp Energia SGPS SA [14.0%]; China Petroleum & Chemical Corp [6.0%],ANEEL: 1620,"L100000302761, L100000300041, L100000300040","https://www.gem.wiki/Bacalhau_Oil_and_Gas_Project_(São_Paulo,_Brazil)",,-25.4722000,-44.0033000,exact,project level location,offshore,"MULTIPOLYGON (((-44.099396802575 -25.5005056865587,-44.0993967931218 -25.497901508219,-44.0993967836699 -25.4952973298782,-44.0993967742194 -25.4926931515364,-44.0993967647702 -25.4900889731936,-44.0993967553223 -25.4874847948497,-44.0993967458757 -25.4848806165047,-44.0993967364304 -25.4822764381587,-44.0993967269864 -25.4796722598117,-44.0993967175437 -25.4770680814637,-44.0993967081023 -25.4744639031146,-44.0993966986623 -25.4718597247644,-44.0993966892236 -25.4692555464133,-44.0993966797861 -25.466651368061,-44.09939667035 -25.4640471897078,-44.0993966609152 -25.4614430113535,-44.0993966514817 -25.4588388329981,-44.0967924617362 -25.4588388407727,-44.0941882719898 -25.4588388485468,-44.0915840822425 -25.4588388563205,-44.0889798924943 -25.4588388640938,-44.0863757027452 -25.4588388718667,-44.0837715129952 -25.4588388796392,-44.0811673232443 -25.4588388874112,-44.0785631334925 -25.4588388951829,-44.0759589437397 -25.4588389029542,-44.0733547539861 -25.458838910725,-44.0707505642316 -25.4588389184954,-44.0681463744761 -25.4588389262655,-44.0655421847198 -25.4588389340351,-44.0629379949625 -25.4588389418043,-44.0629379855373 -25.4562347634376,-44.0629379761134 -25.4536305850698,-44.0629379666908 -25.451026406701,-44.0629379572695 -25.4484222283311,-44.0629379478495 -25.4458180499602,-44.0629379384308 -25.4432138715883,-44.0629379290134 -25.4406096932153,-44.0629379195973 -25.4380055148413,-44.0629379101825 -25.4354013364662,-44.0629379007691 -25.4327971580901,-44.0629378913569 -25.430192979713,-44.0629378819461 -25.4275888013348,-44.0629378725366 -25.4249846229556,-44.0629378631283 -25.4223804445754,-44.0629378537214 -25.4197762661941,-44.0629378443158 -25.4171720878117,-44.0603336545656 -25.4171720955687,-44.0577294648144 -25.4171721033253,-44.0551252750624 -25.4171721110814,-44.0525210853095 -25.4171721188372,-44.0499168955557 -25.4171721265925,-44.0473127058009 -25.4171721343474,-44.0447085160453 -25.417172142102,-44.0421043262887 -25.4171721498561,-44.0395001365313 -25.4171721576098,-44.0368959467729 -25.4171721653631,-44.0342917570137 -25.4171721731159,-44.0316875672535 -25.4171721808684,-44.0290833774925 -25.4171721886205,-44.0264791877305 -25.4171721963721,-44.0238749979676 -25.4171722041234,-44.0212708082038 -25.4171722118742,-44.0186666184392 -25.4171722196246,-44.0160624286736 -25.4171722273746,-44.0134582389071 -25.4171722351243,-44.0108540491397 -25.4171722428735,-44.0082498593714 -25.4171722506222,-44.0056456696022 -25.4171722583706,-44.0030414798321 -25.4171722661186,-44.0004372900611 -25.4171722738662,-43.9978331002892 -25.4171722816133,-43.9952289105164 -25.4171722893601,-43.9926247207427 -25.4171722971064,-43.990020530968 -25.4171723048523,-43.9874163411925 -25.4171723125978,-43.9848121514161 -25.4171723203429,-43.9822079616388 -25.4171723280876,-43.9796037718605 -25.4171723358319,-43.9769995820814 -25.4171723435758,-43.9743953923014 -25.4171723513193,-43.9717912025204 -25.4171723590623,-43.9691870127386 -25.417172366805,-43.9665828229558 -25.4171723745472,-43.9639786331722 -25.417172382289,-43.9613744433876 -25.4171723900305,-43.9587702536022 -25.4171723977715,-43.9561660638158 -25.4171724055121,-43.9535618740286 -25.4171724132523,-43.9509576842404 -25.417172420992,-43.9483534944513 -25.4171724287314,-43.9457493046614 -25.4171724364704,-43.9431451148705 -25.4171724442089,-43.9405409250787 -25.4171724519471,-43.9379367352861 -25.4171724596848,-43.9379367446679 -25.4197766381026,-43.937936754051 -25.4223808165193,-43.9379367634353 -25.424984994935,-43.9379367728211 -25.4275891733497,-43.9379367822081 -25.4301933517633,-43.9379367915964 -25.4327975301758,-43.937936800986 -25.4354017085874,-43.9379368103769 -25.4380058869978,-43.9379368197691 -25.4406100654073,-43.9379368291627 -25.4432142438157,-43.9379368385575 -25.4458184222231,-43.9379368479536 -25.4484226006294,-43.9379368573511 -25.4510267790347,-43.9379368667498 -25.4536309574389,-43.9379368761499 -25.4562351358421,-43.9379368855513 -25.4588393142442,-43.9379368949539 -25.4614434926454,-43.9379369043579 -25.4640476710454,-43.9379369137632 -25.4666518494445,-43.9379369231698 -25.4692560278424,-43.9379369325776 -25.4718602062394,-43.9379369419868 -25.4744643846353,-43.9379369513973 -25.4770685630302,-43.9379369608092 -25.479672741424,-43.9379369702223 -25.4822769198168,-43.9379369796367 -25.4848810982085,-43.9379369890524 -25.4874852765992,-43.9379369984695 -25.4900894549889,-43.9379370078878 -25.4926936333775,-43.9379370173075 -25.4952978117651,-43.9379370267284 -25.4979019901516,-43.9379370361507 -25.5005061685371,-43.9379370455742 -25.5031103469215,-43.9379370549991 -25.5057145253049,-43.9379370644253 -25.5083187036873,-43.9379370738528 -25.5109228820686,-43.9379370832816 -25.5135270604489,-43.9379370927117 -25.5161312388281,-43.9379371021432 -25.5187354172063,-43.9379371115759 -25.5213395955835,-43.9379371210099 -25.5239437739596,-43.9379371304453 -25.5265479523347,-43.9379371398819 -25.5291521307087,-43.9379371493199 -25.5317563090817,-43.9379371587592 -25.5343604874536,-43.9379371681997 -25.5369646658246,-43.9379371776416 -25.5395688441944,-43.9379371870848 -25.5421730225632,-43.9405413769014 -25.5421730147901,-43.9431455667171 -25.5421730070166,-43.9457497565319 -25.5421729992427,-43.9483539463458 -25.5421729914683,-43.9509581361588 -25.5421729836936,-43.9535623259709 -25.5421729759184,-43.956166515782 -25.5421729681428,-43.9587707055923 -25.5421729603669,-43.9613748954017 -25.5421729525905,-43.9639790852102 -25.5421729448136,-43.9665832750177 -25.5421729370364,-43.9691874648244 -25.5421729292588,-43.9717916546301 -25.5421729214807,-43.974395844435 -25.5421729137023,-43.9770000342389 -25.5421729059234,-43.979604224042 -25.5421728981441,-43.9822084138441 -25.5421728903645,-43.9848126036454 -25.5421728825844,-43.9874167934457 -25.5421728748038,-43.9900209832451 -25.5421728670229,-43.9926251730436 -25.5421728592416,-43.9952293628413 -25.5421728514598,-43.997833552638 -25.5421728436777,-44.0004377424338 -25.5421728358951,-44.0004377329786 -25.539568657544,-44.0004377235247 -25.5369644791918,-44.0004377140721 -25.5343603008386,-44.0004377046209 -25.5317561224843,-44.0004376951709 -25.529151944129,-44.0004376857223 -25.5265477657727,-44.0004376762749 -25.5239435874153,-44.0004376668289 -25.5213394090569,-44.0004376573842 -25.5187352306974,-44.0004376479408 -25.5161310523369,-44.0004376384987 -25.5135268739754,-44.0004376290579 -25.5109226956128,-44.0004376196184 -25.5083185172491,-44.0004376101803 -25.5057143388845,-44.0004376007434 -25.5031101605188,-44.0004375913079 -25.500505982152,-44.0030417810948 -25.5005059743808,-44.0056459708808 -25.5005059666092,-44.0082501606659 -25.5005059588372,-44.0108543504501 -25.5005059510648,-44.0134585402335 -25.500505943292,-44.0160627300159 -25.5005059355188,-44.0186669197974 -25.5005059277451,-44.021271109578 -25.5005059199711,-44.0238752993576 -25.5005059121966,-44.0264794891364 -25.5005059044218,-44.0290836789143 -25.5005058966465,-44.0316878686913 -25.5005058888708,-44.0342920584673 -25.5005058810947,-44.0368962482425 -25.5005058733182,-44.0395004380168 -25.5005058655412,-44.0421046277901 -25.5005058577639,-44.0447088175626 -25.5005058499862,-44.0473130073341 -25.500505842208,-44.0499171971048 -25.5005058344294,-44.0525213868745 -25.5005058266505,-44.0551255766433 -25.5005058188711,-44.0577297664112 -25.5005058110913,-44.0603339561783 -25.5005058033111,-44.0629381459444 -25.5005057955304,-44.0655423357096 -25.5005057877494,-44.0681465254739 -25.500505779968,-44.0707507152373 -25.5005057721861,-44.0733549049998 -25.5005057644039,-44.0759590947614 -25.5005057566212,-44.0785632845221 -25.5005057488381,-44.0811674742819 -25.5005057410546,-44.0837716640407 -25.5005057332707,-44.0863758537987 -25.5005057254864,-44.0889800435558 -25.5005057177017,-44.0915842333119 -25.5005057099166,-44.0941884230672 -25.500505702131,-44.0967926128215 -25.5005056943451,-44.099396802575 -25.5005056865587,-44.099396802575 -25.5005056865587)))",Santos,BM-S-8; Norte de Carcará
L100000312928,Bahar Oil and Gas Project (Azerbaijan),,oil and gas,Azerbaijan,,conventional,operating,,2020,,,,Bahar Energy Operating,Bahar Energy [80%]; State Oil Company of Azerbaijan Republic [20%],Greenfields Petroleum Corp [80.0%]; State Oil Company of Azerbaijan Republic [20.0%],,"L100000312926, L100000312927, L100000312928",https://www.gem.wiki/Bahar_Oil_and_Gas_Project_(Azerbaijan),Bahar Gum Deniz,40.3240000,49.9690000,approximate,project level location,offshore,,,
L100000324283,Baleine Oil Project (Côte d'Ivoire),,oil,Côte d'Ivoire,,conventional,operating,,2023,,,,Eni,Eni SpA [37%]; State Oil Company of Azerbaijan Republic [10%]; Société Nationale d'Opérations Pétrolières de la Côte d'Ivoire [22%]; Vitol SA [30%],Eni SpA [37.2%]; Vitol Holding II SA [30.0%]; Société Nationale d'Opérations Pétrolières de la Côte d'Ivoire [22.8%]; State Oil Company of Azerbaijan Republic [10.0%],,"L100000323377, L100000317485, L100000317486",https://www.gem.wiki/Baleine_Oil_Project_(Côte_d'Ivoire),,4.8975,-4.0132,approximate,location derived from fields,offshore,,,
L100000313931,Barracuda Gas Project (Trinidad and Tobago),Project Barracuda,gas,Trinidad and Tobago,,conventional,operating,,2021,,2020,2021,BG Group,BG Group Ltd [100%],Shell PLC [100.0%],,"L100000313931, L100000310911, L100000310922",https://www.gem.wiki/Barracuda_Gas_Project_(Trinidad_and_Tobago),Block 5C,10.2400000,-60.1320000,approximate,project level location,offshore,,,Block 5C
L100000304953,"Bassein & Satellite Oil and Gas Project (Mumbai, India)",,oil and gas,India,Mumbai,conventional,operating,,2023,1976,,1988,Oil and Natural Gas Corporation,Oil and Natural Gas Corporation Ltd [100%],Oil and Natural Gas Corporation Ltd [100.0%],,"L100000318025, L100000321309, L100000304953","https://www.gem.wiki/Bassein_&_Satellite_Oil_and_Gas_Project_(Mumbai,_India)",Vasai & Satellite,19.1990000,72.1240000,approximate,project level location,offshore,,Mumbai Offshore,Bassein & Satellite; Tapti Daman
L100000311936,"Beetaloo Gas Project (Northern Territory, Australia)",,gas,Australia,Northern Territory,unconventional,discovered,,2024,1990,,,Tamboran Resources,Tamboran Resources [77%]; Falcon Australia [22%],Tamboran Resources [77.5%]; Falcon Oil & Gas Ltd [22.0%]; unknown [0.4%],,L100000311936,"https://www.gem.wiki/Beetaloo_Gas_Project_(Northern_Territory,_Australia)",,-15.7131000,134.1261000,approximate,project level location,onshore,,Beetaloo,
L100000311929,Belayim Marine & Belayim Land Oil Project (Egypt),,oil,Egypt,,conventional,operating,,2023,,,,Petrobel,Ieoc SpA [100%],Eni SpA [100.0%],,L100000311929,https://www.gem.wiki/Belayim_Marine_&_Belayim_Land_Oil_Project_(Egypt),,28.6160000,33.2020000,approximate,project level location,offshore,,,Gulf of Suez and Nile Delta Area (Beyalim)
L100000312276,Belbazem Oil and Gas Project (United Arab Emirates),,oil and gas,United Arab Emirates,,conventional,operating,,2024,1982,2021,2024,Al Yasat Petroleum,China National Petroleum Corp [40%]; Abu Dhabi National Oil Co [60%],Abu Dhabi National Oil Co [60.0%]; China National Petroleum Corp [40.0%],,"L100000312270, L100000312276, L100000312313, L100000312317",https://www.gem.wiki/Belbazem_Oil_and_Gas_Project_(United_Arab_Emirates),,25.1310000,53.5920000,exact,project level location,offshore,,,Belbazem; Belbazem [block]
L100000312815,Benguela Belize-Lobito Tomboco Oil Project (Angola),,oil,Angola,,conventional,operating,,2022,,,,Chevron,Somoil Internacional de Petróleo do Brasil Ltda [9%]; Chevron Corp [31%]; Sonangol Pesquisa e Produção SA [20%]; Eni SpA [20%]; TotalEnergies SE [20%],Chevron Corp [31.0%]; Eni SpA [20.0%]; Sonangol EP [20.0%]; TotalEnergies SE [20.0%]; Somoil Internacional de Petróleo do Brasil Ltda [9.0%],,"L100000317042, L100000317041, L100000317043, L100000312815, L100000312776",https://www.gem.wiki/Benguela_Belize-Lobito_Tomboco_Oil_Project_(Angola),BBLT,-5.5215000,11.5233000,approximate,project level location,offshore,,,Block 14
