Unit ID,Unit Name,Unit name local script,Fuel type,Country/Area,Subnational unit,Production Type,Status,Status detail,Status year,Discovery year,FID Year,Production start year,Operator,Owner(s),Parent(s),Government unit ID,Wiki URL (project),Wiki URL (field),Name Other,Latitude,Longitude,Location accuracy,Onshore/Offshore,Field outline (WKT),Basin,Block(s)
L100000309587,"11256I/Cold Lake Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,,operating,,2023,,,,West Lake Energy,,,,https://www.gem.wiki/11256I/Cold_Lake_Project_(),"https://www.gem.wiki/11256I/Cold_Lake_Oil_Asset_(Alberta,_Canada)",,,,,unknown,,,
L100000321033,"11306D/Peace River Area 2 Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Baytex Energy,,,,https://www.gem.wiki/Peace_River_Area_2_Oil_Project_(Canada),"https://www.gem.wiki/11306D/Peace_River_Area_2_Oil_Asset_(Alberta,_Canada)",,56.2557000,-116.8217000,exact,onshore,,,
L100000309357,"11337M/Athabasca Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,unconventional,,,,,,,Canadian Natural Resources,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/11337M/Athabasca_Oil_and_Gas_Asset_(Alberta,_Canada)",,56.3990000,-112.8900000,exact,onshore,,,
L100000321028,"11387J/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Harvest Operations,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/11387J/Athabasca_Oil_Asset_(Alberta,_Canada)",,,,,onshore,,,
L100000321010,"11475III/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Canadian Natural Resources,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/11475III/Athabasca_Oil_Asset_(Alberta,_Canada)",,,,,onshore,,,
L100000309400,"11643D/Cold Lake Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,unconventional,,,,,,,Canadian Natural Resources,,,,https://www.gem.wiki/Cold_Lake_Oil_Project_(Canada),"https://www.gem.wiki/11643D/Cold_Lake_Oil_and_Gas_Asset_(Alberta,_Canada)",,53.7940000,-110.5570000,exact,onshore,,,
L100000321025,"11715U/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,PetroChina Canada,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/11715U/Athabasca_Oil_Asset_(Alberta,_Canada)",,,,,onshore,,,
L100000309414,"11730A/Cold Lake Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,unconventional,,,,,,,Canadian Natural Resources,,,,https://www.gem.wiki/Cold_Lake_Oil_Project_(Canada),"https://www.gem.wiki/11730A/Cold_Lake_Oil_and_Gas_Asset_(Alberta,_Canada)",,53.8290000,-110.8790000,exact,onshore,,,
L100000309416,"11751A/Cold Lake Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Canadian Natural Resources,,,,https://www.gem.wiki/Cold_Lake_Oil_Project_(Canada),"https://www.gem.wiki/11751A/Cold_Lake_Oil_Asset_(Alberta,_Canada)",,53.5630000,-110.6900000,exact,onshore,,,
L100000321027,"11888I/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Athabasca Oil,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/11888I/Athabasca_Oil_Asset_(Alberta,_Canada)",,,,,onshore,,,
L100000321015,"11910L/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Greenfire Resources Operating,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/11910L/Athabasca_Oil_Asset_(Alberta,_Canada)",,,,,onshore,,,
L100000309431,"12015B/Athabasca Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,unconventional,,,,,,,Suncor Energy,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/12015B/Athabasca_Oil_and_Gas_Asset_(Alberta,_Canada)",,57.0390000,-111.0450000,exact,onshore,,,
L100000321024,"12218BB/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Tamarack Valley Energy,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/12218BB/Athabasca_Oil_Asset_(Alberta,_Canada)",,,,,onshore,,,
L100000309447,"12301C/Athabasca Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,unconventional,,,,,,,Canadian Natural Resources,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/12301C/Athabasca_Oil_and_Gas_Asset_(Alberta,_Canada)",,55.4250000,-110.8270000,exact,onshore,,,
L100000321032,"12471U/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Spur Petroleum,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/12471U/Athabasca_Oil_Asset_(Alberta,_Canada)",,55.3456000,-113.7846000,exact,onshore,,,
L100000309621,"12564G/Peace River Area 2 Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,,operating,,2020,,,,Islander Oil & Gas,,,,https://www.gem.wiki/12564G/Peace_River_Area_2_Project_(),"https://www.gem.wiki/12564G/Peace_River_Area_2_Oil_Asset_(Alberta,_Canada)",,,,,unknown,,,
L100000321034,"12564J/Peace River Area 2 Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Islander Oil & Gas,,,,https://www.gem.wiki/Peace_River_Area_2_Oil_Project_(Canada),"https://www.gem.wiki/12564J/Peace_River_Area_2_Oil_Asset_(Alberta,_Canada)",,,,,onshore,,,
L100000321030,"12572U/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Headwater Exploration,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/12572U/Athabasca_Oil_Asset_(Alberta,_Canada)",,,,,onshore,,,
L100000321023,"12580B/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Canadian Natural Resources,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/12580B/Athabasca_Oil_Asset_(Alberta,_Canada)",,55.3211000,-113.6888000,exact,onshore,,,
L100000309598,"12641/Cold Lake Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,,,,,,,,Canadian Natural Resources,,,,https://www.gem.wiki/12641/Cold_Lake_Project_(),"https://www.gem.wiki/12641/Cold_Lake_Oil_and_Gas_Asset_(Alberta,_Canada)",,,,,unknown,,,
L100000309601,"12768A/Cold Lake Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,,,,,,,,Canadian Natural Resources,,,,https://www.gem.wiki/12768A/Cold_Lake_Project_(),"https://www.gem.wiki/12768A/Cold_Lake_Oil_and_Gas_Asset_(Alberta,_Canada)",,,,,unknown,,,
L100000309603,"12827A/Cold Lake Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,,,,,,,,Canadian Natural Resources,,,,https://www.gem.wiki/12827A/Cold_Lake_Project_(),"https://www.gem.wiki/12827A/Cold_Lake_Oil_and_Gas_Asset_(Alberta,_Canada)",,,,,unknown,,,
L100000309481,"12841A/Peace River Area 2 Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,unconventional,,,,,,,Spur Petroleum,,,,https://www.gem.wiki/Peace_River_Area_2_Oil_Project_(Canada),"https://www.gem.wiki/12841A/Peace_River_Area_2_Oil_and_Gas_Asset_(Alberta,_Canada)",,56.5850000,-116.0840000,exact,onshore,,,
L100000321022,"13009B/Peace River Area 2 Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Baytex Energy,,,,https://www.gem.wiki/Peace_River_Area_2_Oil_Project_(Canada),"https://www.gem.wiki/13009B/Peace_River_Area_2_Oil_Asset_(Alberta,_Canada)",,,,,onshore,,,
L100000309294,"13019/Cold Lake Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,unconventional,,,,,,,Acceleware,,,,https://www.gem.wiki/Cold_Lake_Oil_Project_(Canada),"https://www.gem.wiki/13019/Cold_Lake_Oil_and_Gas_Asset_(Alberta,_Canada)",,53.5740000,-110.1410000,exact,onshore,,,
L100000309295,"13020/Peace River Area 2 Oil and Gas Asset (Alberta, Canada)",,oil and gas,Canada,Alberta,unconventional,,,,,,,Woodcote Oil,,,,https://www.gem.wiki/Peace_River_Area_2_Oil_Project_(Canada),"https://www.gem.wiki/13020/Peace_River_Area_2_Oil_and_Gas_Asset_(Alberta,_Canada)",,56.5450000,-116.2200000,exact,onshore,,,
L100000321040,"13050E/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Headwater Exploration,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/13050E/Athabasca_Oil_Asset_(Alberta,_Canada)",,55.4395000,-113.7668000,exact,onshore,,,
L100000321029,"13093J/Athabasca Oil Asset (Alberta, Canada)",,oil,Canada,Alberta,unconventional,operating,,2023,,,,Headwater Exploration,,,,https://www.gem.wiki/Athabasca_Oil_Project_(Canada),"https://www.gem.wiki/13093J/Athabasca_Oil_Asset_(Alberta,_Canada)",,55.4444000,-113.7374000,exact,onshore,,,
L100000318123,16/1-34 S (Lillefix) Oil and Gas Field (Norway),,oil and gas,Norway,,conventional,discovered,,2022,2021,,,Aker BP,Sval Energi AS [20%]; Equinor Energy AS [30%]; Aker BP ASA [50%],Aker BP ASA [50.0%]; Equinor ASA [30.0%]; DNO ASA,NPDID: 39073001,,https://www.gem.wiki/16/1-34_S_(Lillefix)_Oil_and_Gas_Field_(Norway),,58.9845000,2.3301000,exact,offshore,,,
L100000313899,16/4-13 S Oil and Gas Field (Norway),,oil and gas,Norway,,conventional,discovered,,2024,2021,,,Aker BP,,,"NPDID: 34833011, NPDID: 38653902",https://www.gem.wiki/Solveig_Oil_and_Gas_Project_(Norway),https://www.gem.wiki/16/4-13_S_Oil_and_Gas_Field_(Norway),,58.7168000,2.1843000,exact,offshore,"POLYGON ((2.1826311727593604 58.71625244953658, 2.180688100265388 58.716432612551614, 2.1807783593545733 58.715457996822245, 2.1813367426075105 58.71400515042241, 2.1820063812793187 58.71143286423352, 2.183684342262583 58.708971594908164, 2.1858094945002695 58.70695774771574, 2.187934641397614 58.70505770471248, 2.190506979704711 58.703602083727816, 2.193079302154652 58.70248537521342, 2.194198858957644 58.70192426874459, 2.195204428231151 58.70102984856725, 2.195762801010261 58.69979921035562, 2.195876787750456 58.69801024597431, 2.1956518704216057 58.69611017321614, 2.1950936126939036 58.694879620872356, 2.1944214413429783 58.69387397536199, 2.194310374916865 58.69309064513667, 2.194310401007095 58.69253232459665, 2.194646541597152 58.691860004119064, 2.1956520847470875 58.69152390448718, 2.1965466143538155 58.69141281172715, 2.196882749613886 58.69085449544371, 2.198113345885323 58.68951276166606, 2.1988968038608614 58.68872944276986, 2.200013460548818 58.68816833626694, 2.200908000537417 58.687834935328155, 2.2024747277274814 58.688168367429924, 2.205158038174255 58.689512850862045, 2.206835800408745 58.69130183791796, 2.2080662609391157 58.69286581103538, 2.208849624835936 58.69409636622748, 2.2097440074608627 58.69499091046335, 2.21119681052871 58.69577425767801, 2.212538400172828 58.69677991166502, 2.213435672365259 58.69789936421542, 2.214330002670253 58.69991334964645, 2.2154466756507274 58.70114400906993, 2.217013271439829 58.7021495659066, 2.2182438632401396 58.70304411440524, 2.2200327860073874 58.703602457599374, 2.2214856047887874 58.70404969244964, 2.2238356166542856 58.7051692634011, 2.2253995070499637 58.70628872439843, 2.226966102839773 58.707294381242214, 2.2294272386593432 58.70796663713805, 2.230210602661498 58.70919449224776, 2.2318882909733353 58.710425058778576, 2.233677192709554 58.71143351854237, 2.234907800235427 58.711991854670956, 2.23624951599389 58.712439088116035, 2.237813390166808 58.71176688316431, 2.2396051809602593 58.710872372913386, 2.2411691603254296 58.71008906387235, 2.242399851356577 58.70886123425064, 2.2435193708863053 58.70695847837982, 2.245197316051083 58.704833421395314, 2.246761321486178 58.70349169180179, 2.248216903057827 58.702597177296525, 2.248439166617463 58.701366634819394, 2.2486642824100738 58.69901935128064, 2.2486643712817798 58.697116481253886, 2.249111793115677 58.69476920053597, 2.2504535186174 58.692866347489804, 2.253137070263193 58.69118851970031, 2.255934477118861 58.6883940522644, 2.257498503328539 58.6866051062265, 2.2586180278781374 58.68459114628927, 2.259959910574686 58.68146044808293, 2.260965521479488 58.67967149498907, 2.261637834659475 58.67978270758308, 2.2634267209605596 58.681124379564665, 2.2653267259687526 58.68213004059104, 2.2676767327841016 58.683360615583666, 2.26969053041012 58.684591286329166, 2.271143380474817 58.68436909652649, 2.2722629581015257 58.68336067358175, 2.2738269737736423 58.681796735819155, 2.2772937780812534 58.679446693195516, 2.279307785301634 58.67832727747705, 2.2808745593194293 58.67765787265909, 2.282999627877381 58.6774328912483, 2.2852357941684587 58.67732171542765, 2.287696997935894 58.676538417724196, 2.2910499416081485 58.675421719026204, 2.2937361463432477 58.67474952825101, 2.296641746590891 58.67430234852471, 2.2996613551320078 58.67374406615009, 2.301786428872893 58.6734079806427, 2.3055893953177766 58.672066279343746, 2.3082728208063115 58.67094677206942, 2.3101757092984325 58.67016346729892, 2.3120758132361003 58.66904675022786, 2.313417470732095 58.66859955072902, 2.314537022156166 58.66815234842352, 2.318228838722276 58.66781628270305, 2.3210233464078898 58.66714409327976, 2.323259549177039 58.666249588624396, 2.3257207789027 58.66490797036404, 2.32695149062534 58.663230124193234, 2.3270626664330516 58.66166616807261, 2.326168240848806 58.65954107861455, 2.324043260818004 58.657863190064745, 2.3222544899745436 58.656185305764055, 2.3192349906637713 58.654396301833955, 2.3139794615233185 58.6519350449407, 2.310287780285072 58.6493627037215, 2.3067099709021295 58.64746258866118, 2.3038016747750394 58.64567078604332, 2.3023489026392774 58.644218014280234, 2.3001100143335393 58.642651228396105, 2.2995517353766135 58.641870592645816, 2.2979877979610492 58.64175676870268, 2.295748821199272 58.64209285276894, 2.2929542928502045 58.64321225860989, 2.290270757189311 58.64455397402442, 2.288256750270657 58.6456705896235, 2.2861316401781218 58.646790103924694, 2.2832232191639688 58.64768450004965, 2.279198088458949 58.64813176562063, 2.276848003492906 58.648578952357205, 2.274053495925393 58.64925114174677, 2.2722645002930006 58.650256756103126, 2.271592145486082 58.651040076402296, 2.2702504620621275 58.65204559640966, 2.2685726057844353 58.652270583470525, 2.2648807841814316 58.65271785324152, 2.2637641328821547 58.65316505556541, 2.2620862767367607 58.653387242520765, 2.260408415289386 58.65372333366318, 2.259625052261264 58.65461785664623, 2.2586193570391635 58.65607339744542, 2.2566053395828027 58.657415121310706, 2.254144146397882 58.65797341071524, 2.251907969704229 58.658309494793976, 2.2492245444432406 58.65942620191756, 2.247099449948825 58.66020950384233, 2.2453104749785933 58.66077060184712, 2.2421797478513055 58.661665095138886, 2.2401657512059727 58.662559502551325, 2.2387101749713905 58.663342912945424, 2.2364739514116345 58.664684533990155, 2.2349099722110997 58.66546794301236, 2.2334542856102515 58.666473461571776, 2.2309930715562127 58.667479067412756, 2.2286457761522653 58.66815126243326, 2.2250678472920105 58.668820641777685, 2.2211538247997744 58.66915680461264, 2.2183565119335187 58.66994009801846, 2.216342515258909 58.67083450542189, 2.2137701981583464 58.67184010984771, 2.2120923001511703 58.67295952977834, 2.2098560608479247 58.6746373631781, 2.20661418890583 58.676426287934554, 2.2043752651912003 58.6777680089387, 2.20258625375054 58.679109635634774, 2.200127744905933 58.680004137409966, 2.197441540224393 58.680676328124584, 2.19475813043078 58.681459622959466, 2.1940885755801474 58.682243043296396, 2.1937524403368722 58.68280135957575, 2.1921857506249043 58.68380697672637, 2.18905500253712 58.685148586430024, 2.1864826852447523 58.6861569909476, 2.184132563634277 58.687387506447976, 2.1797712558577564 58.68928752110259, 2.176640502542182 58.690740334890386, 2.173284853473006 58.69197083764984, 2.171943085438017 58.69264314538467, 2.1700430023042068 58.69331254593957, 2.168476238651234 58.693759742542184, 2.166909585389918 58.693984730971316, 2.165231723900463 58.694320822078076, 2.1638899715757587 58.69465701744643, 2.162437074529135 58.695884744203404, 2.1607592869243 58.69677925585268, 2.1597536280498173 58.69745146784011, 2.1588563460103565 58.698682101744815, 2.1578506819328234 58.699465417819845, 2.157067313522021 58.700470944887314, 2.1559505464026523 58.70125435955848, 2.1556144059118645 58.701923779927995, 2.1550560540225616 58.70270720167634, 2.153600393382278 58.70315439968274, 2.1521476170913125 58.70393771009188, 2.150469692788995 58.70561555056082, 2.1490167327427447 58.70818782679386, 2.14890279816459 58.70886005008541, 2.1496860463153054 58.71042401756336, 2.1508055192420397 58.71165467703946, 2.1511387864554243 58.71254911417882, 2.151138707882599 58.714226975925094, 2.151138618761964 58.71612984595462, 2.151138545505597 58.71769380351378, 2.151921851589836 58.72015500402914, 2.152482904046699 58.72149666052384, 2.152930063797351 58.722616207400854, 2.153377234093472 58.72351064599292, 2.1537105222309285 58.723957966683486, 2.153717490356508 58.72395934582262, 2.15243820587858 58.72569961466751, 2.1493463932226797 58.72843577619879, 2.149696287129328 58.73090257144853, 2.150698945606768 58.73237203826012, 2.1519433824088345 58.734444430337646, 2.153762728391888 58.736655634818746, 2.1534932130173736 58.73895851619853, 2.1547735886096118 58.742355857536026, 2.1565263195732305 58.74484757151951, 2.157187310919235 58.74754767934296, 2.157512150027476 58.75116451667727, 2.157842684200403 58.75275907960268, 2.161817779906489 58.75303414013179, 2.169834689086886 58.75111467105616, 2.1747295200746257 58.74691177828981, 2.1770658129279368 58.74416170661067, 2.1798549570704897 58.740581110087014, 2.183635835556803 58.73471144184288, 2.1857916885516677 58.7305697166526, 2.1873029767700016 58.727433520328304, 2.1908337768000763 58.72522228364706, 2.192764454552786 58.722552809826574, 2.1946841227436886 58.720080543130074, 2.1938535853623775 58.71825826552897, 2.1920313903371738 58.71708869939598, 2.18838959607526 58.716977549173926, 2.185917339091319 58.716752509572764, 2.1826311727593604 58.71625244953658))",,PL359
L100000320775,25/7-11 S (Norma) Oil and Gas Field (Norway),,oil and gas,Norway,,conventional,discovered,,2024,2023,,,DNO Norge,,,NPDID: 42002486,,https://www.gem.wiki/25/7-11_S_(Norma)_Oil_and_Gas_Field_(Norway),,59.2927000,2.0758000,exact,offshore,,,
L100000317196,"25 de Mayo - Medanito Sudeste LP Oil and Gas Field (La Pampa, Argentina)",25 de Mayo - Medanito Sudeste LP,oil and gas,Argentina,La Pampa,,operating,,2024,,,2016,Petroquimica Comodoro Rivadavia,,,Secretaría de Energía ID: VELP_PCR_LP,,"https://www.gem.wiki/25_de_Mayo_-_Medanito_Sudeste_LP_Oil_and_Gas_Field_(La_Pampa,_Argentina)",,-38.2333000,-69.2667000,approximate,onshore,,Neuquina,25 de Mayo - Medanito Sud Este LP
