Country,Facility,Facility Type,Lat,Lon,Description,Date,Capacity,Source URL,Attack Happened,Notes
Saudi Arabia,East-West Pipeline (Pumping Station 2),Pipeline,24.1167,38.2167,Drone strike on a pumping station near Yanbu; flows disrupted.,2026-04-08,"700,000 b/d disrupted",https://www.cnbc.com/2026/04/09/iran-war-oil-saudi-arabia-east-west-pipeline.html,TRUE,Approximate coordinates
Saudi Arabia,Riyadh Refinery,Oil,24.3109,46.5227,"Attacked directly, affecting exports of refined products.",2026-04-09,"120,000 b/d",https://www.insurancejournal.com/,TRUE,
Saudi Arabia,Manifa Facility,Oil,27.6,48.9667,Suspected targeting affecting domestic fuel needs.,2026-04-09,"300,000 b/d",https://www.cnbc.com/2026/04/09/iran-war-oil-saudi-arabia-east-west-pipeline.html,TRUE,
Vietnam,Southern Petrochemical Complex,Gas/Petrochemical,10.3542,107.0647,"Fire broke out during a trial operation at a petrochemicals facility in Long Son Commune, Vung Tau City.",2026-04-13,No info found,https://en.sggp.org.vn/southern-petrochemical-complex-tag52779.html,FALSE,No evidence of external attack; occurred during trial/commissioning operation
Russia,Tuapse Refinery,Oil,44.1,39.0833,Struck by Ukrainian drones; fire burned for 42 hours.,2026-04-16,"~240,000 b/d",https://www.themoscowtimes.com/2026/04/24/black-rain-toxic-air-and-bird-deaths-russian-black-sea-town-reels-from-refinery-strike-a92581,TRUE,First of three reported April strikes on this facility
Russia,Tuapse Refinery,Oil,44.1,39.0833,Second strike within the same week.,2026-04-19,"~240,000 b/d",https://www.themoscowtimes.com/2026/04/24/black-rain-toxic-air-and-bird-deaths-russian-black-sea-town-reels-from-refinery-strike-a92581,TRUE,Repeat strike; first hit 2026-04-16
USA,Etoile Oil Well,Oil,31.3857,-94.4361,Well site explosion triggered a massive fire; derrick collapsed.,2026-04-20,No info found,https://sundayguardianlive.com/world/texas-oil-well-explosion-blast-near-etoile-triggers-massive-fire-no-casualties-reported-as-residents-evacuated-in-nacogdoches-county-watch-the-viral-video-185527/,FALSE,No evidence of external attack; industrial incident
Ukraine,Dnipro Oil Depot,Oil,48.4647,35.0468,"Russian combined drone and missile strike on the night of April 24–25 set one of the region's largest oil depots ablaze, causing a major fire.",2026-04-25,No info found,https://voennoedelo.com/en/posts/id15343-strikes-hit-dnepropetrovsk-oil-depot-set-on-fire,TRUE,Approximate coordinates for Dnipro city area
Russia,Tuapse Refinery,Oil,44.1,39.0833,"Struck a third time this month, causing a massive fire and forcing nearby evacuations.",2026-04-28,"~240,000 b/d",https://www.bbc.com/news/articles/cvgzd4qk7qgo,TRUE,Repeat strike; previously hit 2026-04-16 and 2026-04-19
Russia,Rosneft Kuibyshev Refinery,Oil,53.2,50.15,Drone attack halted primary processing units at Rosneft's Samara-region refinery.,2026-06-10,"~140,000 b/d",https://www.reuters.com/business/energy/rosnefts-kuibyshev-oil-refinery-halted-processing-june-10-after-drone-attack-sources-2026-06-10/,TRUE,
Russia,Moscow Oil Refinery (Gazprom Neft),Oil,55.656,37.654,"Largest drone attack on Moscow since start of war; refinery set ablaze, primary units damaged; black rain reported over city.",2026-06-16,"~220,000 b/d",https://www.themoscowtimes.com/2026/06/16/ukrainian-drone-attacks-spark-fires-at-moscow-refinery-and-krasnodar-region-fuel-depot-a92594,TRUE,First of two June strikes; second strike completely knocked facility offline
Russia,Moscow Oil Refinery (Gazprom Neft),Oil,55.656,37.654,Second drone strike in three days knocked the refinery completely offline; largest attack on Russian capital.,2026-06-18,"~220,000 b/d (full halt)",https://www.reuters.com/world/europe/second-moscow-refinery-attack-this-week-damages-units-sparks-fires-sources-say-2026-06-18/,TRUE,Repeat strike; first hit 2026-06-16; full repairs not expected until 2027
Russia,Tyumen Oil Refinery (Antipinsky),Oil,57.15,65.5,"Drone strike 2,000km deep inside Russia hit refining facilities; confirmed by Zelensky.",2026-06-20,No info found,https://www.reuters.com/world/europe/ukraines-zelenskiy-confirms-drone-strike-refining-facilities-russias-tyumen-region-2026-06-20/,TRUE,Approximate coordinates; first of two reported strikes on this facility
Russia,Krasnodar Fuel Depot / Ilsky Refinery,Oil,44.85,38.67,Drone strike set fuel storage facilities ablaze in Krasnodar Krai; fires visible for miles.,2026-06-21,No info found,https://www.aljazeera.com/news/2026/6/21/ukraine-strikes-hit-oil-facilities-in-crimea-russias-krasnodar,TRUE,Combined strike with Crimea oil facilities; first of three reported strikes on Ilsky
Russia,Ufa Oil Refinery (Bashneft),Oil,54.73,55.95,Ukrainian Liutyi long-range drones struck Bashneft's Ufa refinery complex causing fires.,2026-06-25,"~170,000 b/d",https://militarnyi.com/eng/bukvy/liutyi-drones-strike-oil-refinery-ufa/,TRUE,
Russia,NORSI Refinery,Oil,56.1264,44.1736,Fourth-largest Russian refinery suspended operations entirely after new drone strike; Russia begins importing fuel.,2026-06-26,"~320,000 b/d",https://kyivindependent.com/russias-4th-largest-oil-refinery-shuts-down-after-ukrainian-drone-strike-reuters-reports-2/,TRUE,Repeat strike; first hit 2026-04-05
Russia,Yaroslavl Refinery,Oil,57.5528,39.8097,Re-struck alongside multiple other refineries in a coordinated Ukrainian drone campaign.,2026-06-27,No info found,https://kyivindependent.com/ukraine-struck-oil-refineries-in-krasnodar-krai-and-yaroslavl-oblast-zelensky-says/,TRUE,Repeat strike; first hit 2026-03-01
Russia,Ilsky Refinery (Krasnodar Krai),Oil,44.85,38.67,Ukrainian forces set fire to the refinery in a morning drone attack.,2026-06-28,No info found,https://apnews.com/article/ukraine-russia-drone-attack-refineries-70ed15b7b8c8b78a7e5f8e3d9c1a0b4c,TRUE,Repeat strike; first hit 2026-06-21
Russia,Kronstadt Naval Base / St. Petersburg Oil Terminal,Oil,60.0064,29.7395,"Long-range drone wave hit an oil terminal and Baltic port near St. Petersburg, one of the deepest strikes yet against Putin's home region.",2026-07-04,No info found,https://www.aljazeera.com/news/2026/7/4/ukraine-hits-oil-and-military-facilities-near-russias-st-petersburg,TRUE,Leningrad governor reported 72 UAVs shot down regionwide; approximate coordinates
Ukraine,Naftogaz Gas Production Facility (Poltava Oblast),Gas Station,49.5883,34.5514,Russian drone struck a Naftogaz gas production asset, sparking a fire and forcing a suspension of operations.,2026-07-04,No info found,https://www.pravda.com.ua/eng/news/2026/07/04/8042360/,TRUE,Facility repeatedly targeted; Naftogaz reports facilities hit 20+ times since start of 2026
Ukraine,Ukrnafta Frontline Gas Stations (multiple sites),Gas Station,49.5,35.5,Series of strikes July 2-5 hit a Ukrnafta production site and three state-network gas stations supplying frontline communities; one person killed, two injured.,2026-07-05,No info found,https://newsukraine.rbc.ua/news/ukraine-s-biggest-oil-and-gas-company-under-1783276365.html,TRUE,Approximate coordinates; exact station locations undisclosed
Russia,Vysotsk Port,Oil,60.6167,28.5833,Ukrainian deep-strike drone operation hit the Baltic Sea export port alongside Ust-Luga.,2026-07-06,No info found,https://www.usnews.com/news/world/articles/2026-07-06/ukrainian-drones-hit-russias-largest-refinery-in-one-of-deepest-strikes-yet,TRUE,Part of same night as Omsk strike; approximate coordinates
Russia,Omsk Refinery (Gazprom Neft),Oil,55.0607,73.2493,"Ukrainian Special Operations Forces struck Russia's largest refinery in a record ~3,000km strike, disabling the CDU-10 primary distillation unit responsible for roughly 38% of throughput.",2026-07-06,"~440,000 b/d (22 million tons/year); ~75% of capacity knocked out",https://www.kyivpost.com/post/79696,TRUE,Deepest strike of the war at time of writing; exact coordinates per Global Energy Monitor
Russia,Yaroslavl Refinery,Oil,57.5528,39.8097,Re-struck in a coordinated deep-strike operation the same night as the Omsk attack.,2026-07-06,No info found,https://www.themoscowtimes.com/2026/07/06/ukraine-strikes-russias-largest-oil-refinery-in-western-siberia-a93177,TRUE,Repeat strike; previously hit 2026-03-01 and 2026-06-27
Russia,Saratov Refinery,Oil,51.5606,46.0033,Drone strike disabled CDU-6, the refinery's sole primary crude distillation unit; company halted processing and product sales entirely.,2026-07-08,"~147,000 b/d (20,000 metric tons/day; 7 million tons/year nameplate)",https://kyivindependent.com/key-russian-oil-refinery-halts-production-following-ukrainian-attack-reuters-reports/,TRUE,One of Russia's oldest refineries; supplies Engels strategic bomber air base
Russia,Ilsky Refinery (Krasnodar Krai),Oil,44.85,38.67,Repeat strike on the refinery two nights before the Syzran attack.,2026-07-09,No info found,https://kyivindependent.com/key-russian-oil-refinery-struck-in-ukrainian-attack/,TRUE,Repeat strike; previously hit 2026-06-21 and 2026-06-28
Russia,Taganrog Oil Terminal (Rostov Oblast),Oil,47.2362,38.9004,Wide-ranging strike on Rostov Oblast oil infrastructure; large smoke plumes reported over the Azov Sea port city.,2026-07-10,No info found,https://kyivindependent.com/major-russian-oil-refinery-reportedly-struck-by-ukraine/,TRUE,Part of combined attack with Azov depot; approximate coordinates
Russia,Azov Oil Depot (Rostov Oblast),Oil,47.1103,39.4204,Fires reported at an oil depot in the town of Azov as part of the same operation that hit Taganrog terminal.,2026-07-10,No info found,https://kyivindependent.com/major-russian-oil-refinery-reportedly-struck-by-ukraine/,TRUE,Approximate coordinates
Ukraine,Fuel and Lubricants Depot near Rozivka (Zaporizhzhia Oblast),Oil,47.15,36.05,Ukrainian forces struck a Russian military fuel and lubricants depot in Zaporizhzhia Oblast.,2026-07-10,No info found,https://kyivindependent.com/major-russian-oil-refinery-reportedly-struck-by-ukraine/,TRUE,Approximate coordinates
Russia,Syzran Refinery (Samara Oblast),Oil,53.1667,48.4667,Drone strike hit a refinery supplying fuel to the Russian Air Force and military units; fires and heavy smoke reported.,2026-07-12,"~170,000 b/d (8.5 million tons/year)",https://kyivindependent.com/key-russian-oil-refinery-struck-in-ukrainian-attack/,TRUE,Located over 800km from Ukrainian border
Russia,Gazprom Neftekhim Salavat Refinery (Bashkortostan),Oil,53.3711,55.928,"Special Operations Forces struck one of Russia's largest oil refining and petrochemical complexes, damaging the AVT-6 primary distillation unit.",2026-07-14,"~10 million tons/year (~200,000 b/d)",https://kyivindependent.com/drones-attack-major-oil-refinery-in-bashkortostan/,TRUE,Last major Russian gasoline producer not yet struck in 2026; ~1500km from border; approximate coordinates
Russia,Afipsky Refinery (Krasnodar Krai),Oil,44.8667,38.85,Same overnight operation ignited a fire at a refinery that supplies fuel to Russian military units.,2026-07-14,"~6.25 million tons/year (~126,000 b/d)",https://kyivindependent.com/drones-attack-major-oil-refinery-in-bashkortostan/,TRUE,Same night as Salavat strike; approximate coordinates
Ukraine,Naftogaz Bazilevshchyna Borehole Center (Seleschyna, Poltava),Gas Station,49.4,34.65,Russian Geranium-type drones hit a Naftogaz borehole technology center in the village of Seleschyna.,2026-07-19,No info found,https://ua.news-pravda.com/en/russia/2026/07/18/106755.html,TRUE,Same wave also damaged a Naftogaz facility in Kharkiv Oblast; approximate coordinates
Russia,Podolsk Oil Depot (Moscow Oblast),Oil,55.4297,37.5446,Oil depot and logistics facilities struck roughly 400km from the Ukrainian border, confirmed by Zelensky.,2026-07-20,No info found,https://kyivindependent.com/moscow-oblast-attack-july-20-2026/,TRUE,Same operation also hit 6 Black Sea vessels; approximate coordinates
Russia,Armavir Oil Depot (Krasnodar Krai),Oil,44.9917,41.125,Drone strike set a fuel depot ablaze in the same overnight wave that hit two regional logistics warehouses.,2026-07-22,No info found,https://militarnyi.com/en/news/drone-strike-oil-bashkortostan-ulyanovsk/,TRUE,Approximate coordinates
Russia,Yaroslavl Refinery,Oil,57.5528,39.8097,Fourth reported 2026 strike; drones hit both the refinery and its separate oil pumping and dispatch station.,2026-07-22,No info found,https://kyivindependent.com/ukraine-reportedly-strikes-russian-oil-refinery-in-yaroslavl/,TRUE,Repeat strike; previously hit 2026-03-01, 2026-06-27, 2026-07-06; exact date approximate
International Waters (Red Sea),Tankers Encelia and Layla,Tanker,13.5,43.3,Houthi forces claimed missile and drone strikes on two Saudi-linked oil tankers as part of a declared naval blockade of Saudi Arabia; fire reported on one vessel.,2026-07-22,No info found,https://www.aljazeera.com/news/2026/7/22/yemens-houthis-claim-attack-on-two-saudi-oil-tankers,TRUE,Approximate coordinates near Bab al-Mandeb Strait
Russia,NS-Oil Refinery (Novospasskoye, Ulyanovsk Oblast),Oil,53.9667,47.5833,Drone strike hit a refinery and adjacent liquefied-gas storage/oil depot, sparking a large fire.,2026-07-23,"~600,000 tons/year (~12,000 b/d)",https://kyivindependent.com/ukrainian-drones-target-russias-amazon-warehouse-for-second-straight-night-locals-say/,TRUE,Approximate coordinates; ~650km from front line
Russia,Subkhankulovo Linear Production & Dispatch Station (Bashkortostan),Pipeline,54.6014,53.6989,Long-range drones struck a Transneft-Ural pumping station on Russia's strategic pipeline network, sparking a large fire.,2026-07-23,No info found,https://militarnyi.com/en/news/drone-strike-oil-bashkortostan-ulyanovsk/,TRUE,Approximate coordinates
Russia,Tyumen Oil Refinery (Antipinsky),Oil,57.15,65.5,Second reported drone strike on the refinery in the Ural region; fire broke out on site.,2026-07-25,No info found,https://www.bloomberg.com/news/articles/2026-07-25/ukraine-drone-strike-hits-tyumen-oil-refinery-deep-inside-russian-territory,TRUE,Repeat strike; first hit 2026-06-20
Ukraine,Poltava District Gas Stations (multiple),Gas Station,49.5,34.5,"Drone barrage struck at least four gas stations and a fire station along key Poltava road corridors, damaging forecourts and fuel pumps.",2026-07-25,No info found,https://www.thetraveler.org/russian-drone-barrage-hits-poltava-gas-stations-fuel-sites/,TRUE,Approximate coordinates; casualty figures still being clarified
Saudi Arabia,Jizan (Jazan) Aramco Refinery,Oil,16.8892,42.5511,"Houthi forces claimed a ballistic missile and drone strike that set the refinery ablaze; first such Houthi strike on Saudi oil infrastructure since 2022.",2026-07-25,"~400,000 b/d",https://maritime-executive.com/article/houthi-rebels-claim-missile-strike-on-giant-saudi-refinery-at-jazan,TRUE,Coincided with collapse of Saudi-Houthi truce and renewed Saudi strikes on Hodeidah
Saudi Arabia,Yanbu Export Terminal / Petroline Terminus,Pipeline,24.0895,38.0618,Two ballistic missiles aimed at oil export and pipeline terminal infrastructure were intercepted by a Patriot battery; Yanbu is the main outlet of the East-West Petroline.,2026-07-25,~7 million b/d (Petroline capacity),https://www.aljazeera.com/news/2026/7/26/new-front-in-us-iran-war-escalates-as-houthis-fire-at-saudi-oil-facilities,TRUE,Missiles intercepted; no confirmed facility damage
